Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1293,290,1117,271,27,71,0,12,139,124,0,12,0,12,10,21,10,21,0,12
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1202,326,769,276,168,100,0,12,114,100,90,131,0,12,61,59,0,12,61,59
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1607,349,1015,330,141,112,0,12,201,120,13,22,112,83,125,90,0,12,125,90
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1816,478,577,178,511,221,45,74,194,146,0,12,246,222,243,271,54,67,189,209
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",1000,211,730,195,1,2,22,26,211,133,0,12,18,28,18,29,0,12,18,29
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",1063,316,790,283,0,12,0,12,216,141,0,12,16,25,41,48,0,12,41,48
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",1143,413,532,197,217,331,0,12,237,152,0,12,102,111,55,82,0,12,55,82
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1876,418,961,249,242,250,60,102,563,395,0,12,0,12,50,47,0,12,50,47
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1044,267,463,112,0,12,0,12,493,247,0,12,0,12,88,67,0,12,88,67
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1494,313,964,236,176,192,0,12,125,91,0,12,0,12,229,236,0,12,229,236
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1354,326,1137,302,0,12,8,19,90,97,0,12,20,38,99,80,31,42,68,68
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1160,175,929,154,16,26,0,12,117,75,28,46,0,12,70,103,0,12,70,103
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1477,238,1054,229,103,83,28,37,95,66,96,124,0,12,101,65,33,38,68,53
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3409,500,1756,342,909,445,25,40,341,201,0,12,22,37,356,239,0,12,356,239
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1388,319,869,238,38,45,14,24,441,305,0,12,20,33,6,14,0,12,6,14
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1110,246,913,230,56,69,0,12,102,68,0,12,0,12,39,40,0,12,39,40
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1098,275,976,271,0,12,7,11,53,44,19,30,0,12,43,42,0,12,43,42
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",738,182,644,189,10,18,0,12,35,49,0,12,0,12,49,57,26,43,23,38
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1209,310,832,217,328,283,16,27,14,24,19,31,0,12,0,12,0,12,0,12
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1861,426,1448,315,70,61,21,36,216,148,0,12,64,56,42,35,0,12,42,35
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",1092,194,1039,193,13,19,0,12,35,40,0,12,0,12,5,8,0,12,5,8
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",901,144,717,151,19,29,0,12,112,81,0,12,0,12,53,37,10,15,43,33
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",1051,191,906,188,0,12,0,12,106,65,0,12,0,12,39,37,0,12,39,37
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",1029,217,712,176,54,97,21,37,217,153,0,12,0,12,25,41,0,12,25,41
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",1010,323,702,246,0,12,13,22,223,200,0,12,0,12,72,84,0,12,72,84
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1472,445,736,237,36,56,11,17,253,212,0,12,325,341,111,114,0,12,111,114
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1712,330,1355,359,182,160,0,12,112,85,0,12,0,12,63,64,0,12,63,64
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",924,298,434,147,187,200,0,12,68,68,0,12,235,113,0,12,0,12,0,12
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1527,420,1098,353,65,85,11,19,235,223,0,12,46,75,72,87,0,12,72,87
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",2101,439,1141,263,329,313,0,12,529,340,86,137,16,26,0,12,0,12,0,12
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",1128,279,836,258,58,53,3,7,105,77,0,12,58,71,68,52,0,12,68,52
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",1075,318,796,282,17,27,0,12,210,219,0,12,52,83,0,12,0,12,0,12
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",588,182,439,134,30,34,0,12,27,43,12,19,27,35,53,63,0,12,53,63
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",1111,206,879,170,12,16,14,15,170,121,0,12,0,12,36,40,0,12,36,40
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1376,191,1225,200,12,20,0,12,92,71,0,12,0,12,47,43,0,12,47,43
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",1079,174,850,168,7,11,26,32,104,54,30,36,4,8,58,34,0,12,58,34
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",892,109,797,119,10,15,0,12,38,26,0,12,12,12,35,28,5,8,30,26
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",1040,189,464,93,415,192,0,12,118,85,0,12,18,20,25,21,0,12,25,21
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",1054,127,708,114,69,63,5,7,91,45,0,12,30,48,151,67,7,12,144,67
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",1161,312,783,194,56,85,0,12,231,197,0,12,0,12,91,91,0,12,91,91
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1508,239,1151,216,62,58,0,12,116,88,0,12,26,40,153,92,8,13,145,88
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",1289,282,929,258,0,12,0,12,227,215,0,12,39,63,94,84,0,12,94,84
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",900,265,405,157,98,106,38,59,231,167,0,12,78,98,50,62,36,58,14,21
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1349,328,875,234,187,238,0,12,240,167,0,12,14,22,33,39,0,12,33,39
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1695,451,996,416,0,12,0,12,394,252,0,12,233,270,72,76,0,12,72,76
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",1323,281,883,259,83,100,0,12,152,102,23,36,65,82,117,86,0,12,117,86
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1462,272,964,293,76,94,0,12,289,156,0,12,0,12,133,107,0,12,133,107
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1601,279,1011,315,24,29,0,12,396,148,0,12,57,97,113,106,0,12,113,106
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",1326,300,927,230,129,90,0,12,193,157,0,12,12,20,65,62,0,12,65,62
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1566,315,1407,326,0,12,0,12,67,71,0,12,0,12,92,69,0,12,92,69
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",1038,350,887,343,0,12,13,28,52,49,0,12,7,16,79,92,0,12,79,92
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",1349,370,1031,368,0,12,20,30,127,120,0,12,85,120,86,87,0,12,86,87
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1552,236,1402,244,0,12,14,23,106,103,0,12,12,20,18,28,0,12,18,28
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",1165,243,1126,244,0,12,0,12,0,12,0,12,0,12,39,36,0,12,39,36
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1233,195,1135,187,0,12,5,8,58,43,0,12,0,12,35,29,7,12,28,27
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1389,204,1289,191,0,12,0,12,29,27,0,12,7,11,64,57,0,12,64,57
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",1215,172,1106,159,7,12,6,9,91,87,0,12,2,6,3,6,0,12,3,6
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1507,227,1089,169,18,20,7,11,133,112,0,12,81,124,179,143,7,12,172,142
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1837,259,1166,197,33,44,0,12,281,150,1,2,96,105,260,122,47,51,213,125
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",932,172,860,154,39,62,20,26,13,26,0,12,0,12,0,12,0,12,0,12
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1286,242,840,193,66,56,14,22,231,109,0,12,41,50,94,62,33,37,61,49
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1523,280,1277,261,29,25,5,8,57,54,0,12,47,74,108,76,0,12,108,76
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",878,172,736,179,11,17,20,34,39,61,0,12,0,12,72,43,0,12,72,43
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",1364,391,991,354,0,12,5,11,296,143,0,12,32,42,40,36,8,12,32,34
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",643,200,503,170,22,35,0,12,60,84,0,12,0,12,58,74,0,12,58,74
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",1931,565,1425,311,9,22,66,81,146,102,14,23,141,175,130,98,66,82,64,57
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",1461,336,1115,332,0,12,0,12,159,102,0,12,14,22,173,130,0,12,173,130
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1825,440,1374,430,0,12,0,12,330,176,0,12,7,16,114,142,0,12,114,142
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",2216,292,1529,290,117,107,0,12,419,152,0,12,25,28,126,72,18,20,108,69
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",1366,251,1102,216,37,46,0,12,101,75,11,27,60,54,55,45,0,12,55,45
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",1141,191,762,150,0,12,8,14,307,155,0,12,0,12,64,71,0,12,64,71
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1750,209,1483,209,0,12,0,12,147,67,0,12,43,36,77,65,0,12,77,65
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",1049,194,910,192,0,12,0,12,97,68,0,12,0,12,42,40,0,12,42,40
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",801,137,679,131,6,10,0,12,55,55,0,12,21,21,40,34,0,12,40,34
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",1749,243,1398,233,77,105,0,12,219,82,0,12,37,43,18,28,0,12,18,28
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",859,160,679,154,9,14,0,12,100,78,0,12,20,23,51,45,0,12,51,45
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",1540,246,1088,224,0,12,0,12,342,175,0,12,51,51,59,54,0,12,59,54
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",1553,313,1221,287,5,12,2,4,186,89,0,12,0,12,139,103,0,12,139,103
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",1498,236,1283,227,0,12,24,38,67,62,0,12,41,67,83,60,0,12,83,60
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",1330,301,1015,242,0,12,0,12,197,108,0,12,0,12,118,89,16,25,102,85
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",1241,239,1089,221,0,12,0,12,91,71,0,12,0,12,61,79,0,12,61,79
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",948,162,875,163,7,11,0,12,29,27,0,12,0,12,37,37,0,12,37,37
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",801,134,574,153,0,12,0,12,179,78,0,12,0,12,48,40,0,12,48,40
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",1245,179,1005,142,10,15,0,12,52,44,0,12,15,19,163,101,27,42,136,98
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",1461,195,1298,184,19,25,12,19,46,43,0,12,0,12,86,77,0,12,86,77
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",1520,219,1325,199,7,11,0,12,75,68,0,12,26,39,87,64,0,12,87,64
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",1269,256,1044,230,19,20,0,12,121,64,0,12,28,29,57,46,0,12,57,46
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",1305,227,1093,195,24,36,25,39,105,70,0,12,31,48,27,32,0,12,27,32
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",1459,261,1162,204,48,49,0,12,107,75,0,12,0,12,142,100,0,12,142,100
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",956,217,816,210,15,24,0,12,85,63,0,12,0,12,40,64,0,12,40,64
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",2098,360,1830,384,0,12,0,12,65,65,0,12,0,12,203,239,0,12,203,239
