Id,Id2,Geography,Edu Total,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1068,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,48,77,0,12,0,12,0,12,0,12,60,55,0,12,43,52,135,75,44,41,395,168,152,95,129,85,62,53
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",926,237,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,84,68,125,139,117,87,50,48,164,96,74,52,167,81,80,73,37,60,14,22
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1185,275,26,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,0,12,14,22,0,12,0,12,194,159,50,46,84,79,109,81,121,65,395,130,81,49,33,32,64,50
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1057,230,50,49,0,12,0,12,0,12,0,12,43,70,0,12,0,12,44,70,0,12,0,12,0,12,10,18,0,12,17,26,153,115,53,61,54,46,225,102,105,68,190,113,81,79,0,12,32,50
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",774,198,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,70,77,134,106,40,62,23,27,102,53,52,46,251,107,75,80,0,12,14,22
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",836,198,17,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,53,50,107,61,56,56,78,71,87,58,30,35,312,108,71,49,11,17,14,24
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",795,239,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,73,111,40,51,25,26,39,41,67,55,73,67,40,44,291,131,96,115,0,12,33,41
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1328,295,0,12,0,12,0,12,0,12,0,12,20,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,301,173,0,12,47,49,116,89,211,143,377,131,182,122,25,40,49,45
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",758,187,82,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,60,3,10,0,12,0,12,15,23,0,12,15,22,44,37,0,12,18,30,169,79,4,10,176,81,128,88,0,12,69,54
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1133,224,30,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,40,0,12,0,12,18,27,19,30,0,12,0,12,101,58,0,12,97,102,142,86,180,116,398,125,91,77,17,27,17,27
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1030,209,30,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,19,88,88,45,53,31,42,58,46,27,30,398,122,292,125,40,53,13,20
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",873,155,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,18,15,22,47,47,17,19,217,136,22,31,77,43,71,37,101,62,206,83,50,41,8,14,26,23
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1043,162,15,21,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,0,12,0,12,0,12,36,43,0,12,44,37,142,66,23,19,69,43,192,74,177,97,222,99,98,53,24,38,0,12
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",2414,318,22,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,52,0,12,37,53,33,49,0,12,452,152,123,73,130,98,474,219,278,152,585,203,164,83,47,54,28,31
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1097,240,25,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,32,0,12,8,19,0,12,31,46,18,42,16,23,81,71,36,42,5,11,237,121,93,78,264,124,157,108,30,37,76,67
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",976,223,32,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,32,3,6,20,28,25,28,166,73,4,5,92,56,115,75,77,94,345,140,70,49,0,12,0,12
