Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",113672,40728
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",37083,15016
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",56875,15497
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",27955,14486
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",35417,19794
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",75197,5649
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",48516,24951
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",43013,7250
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",52619,9151
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",65028,29811
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",92083,31051
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",82663,27667
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",58750,22229
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",31590,1546
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",61000,21404
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",27016,5944
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",49242,26025
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",61227,16869
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",54865,35176
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",73088,19513
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",112083,20364
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",126667,43656
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",129345,19047
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",82500,20689
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",39438,6804
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",64479,27528
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",57826,10582
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",82750,39480
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",60000,15521
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",47546,11952
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",46466,8540
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",105333,63513
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",80333,15511
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",77500,27730
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",91625,31927
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",125272,14074
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",114712,55947
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",51250,25730
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",91250,19558
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",63929,19227
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",64943,29267
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",99667,26736
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",50172,27100
