Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",68764,19283
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",27463,8453
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",35299,8240
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",17369,3540
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",32499,6356
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",35132,7094
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",23328,7999
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",28691,5844
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",27184,5538
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",35482,6860
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",41256,7624
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",36618,5503
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",38751,13753
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",22984,4225
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",38175,6678
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",28125,6540
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",35612,6962
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",41931,8451
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",42827,12163
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",52050,15501
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",61557,8826
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",56260,10427
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",55708,8646
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",37103,8070
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",26869,6153
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",34569,7566
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",35172,7943
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",31167,5909
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",32183,6429
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",23058,4387
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",31583,8148
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",42269,10066
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",49428,11870
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",43798,9237
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",46670,5929
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",60782,8122
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",73095,13132
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",24776,5217
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",43198,6869
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",33270,5671
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",46326,7082
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",54758,21019
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",35206,9426
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",21523,5441
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",23484,8808
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",22876,6426
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",43819,10389
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",38051,8120
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",39932,8416
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",30762,4567
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",40828,13123
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",33531,6791
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",44879,5844
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",48191,8171
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",61355,8069
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",73827,11263
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",57052,7822
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",38323,6180
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",41323,7876
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",52860,9666
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",49067,21319
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",34707,4481
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",46506,7721
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",30332,4648
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",40628,10450
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",46376,12531
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",39832,8651
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",34450,8414
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",38910,9476
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",50516,10229
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",59419,28765
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",53643,11384
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",46649,11950
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",42580,7001
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",44613,6700
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",38572,6381
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",55759,14477
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",49652,9310
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",52858,13880
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",78457,21735
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",79011,15614
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",56929,8924
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",46711,10745
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",46093,7096
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",50301,8204
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",52186,9058
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",41956,6557
