Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",623,123,4,11,0,12,4,11,619,124,132,60,487,121
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",632,136,134,86,33,53,101,69,498,121,99,81,399,115
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",684,111,184,75,111,71,73,51,500,103,131,81,369,97
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",832,151,290,105,163,94,127,70,542,157,27,31,515,158
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",629,120,87,52,60,44,27,31,542,121,82,50,460,119
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",439,77,35,39,35,39,0,12,404,83,46,41,358,87
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",534,171,108,114,0,12,108,114,426,140,56,45,370,139
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",893,144,81,59,45,42,36,40,812,153,70,54,742,159
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",504,105,37,40,15,23,22,32,467,105,65,42,402,97
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",713,121,188,111,35,39,153,110,525,107,112,58,413,114
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",489,91,35,38,35,38,0,12,454,94,59,48,395,101
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",467,57,86,77,8,15,78,76,381,68,67,41,314,68
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",620,81,96,61,62,58,34,35,524,89,128,62,396,85
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1843,231,591,224,257,126,334,203,1252,193,290,114,962,197
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",668,137,0,12,0,12,0,12,668,137,53,41,615,143
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",790,145,187,71,58,47,129,61,603,136,284,96,319,115
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",516,116,33,39,19,31,14,23,483,121,103,81,380,102
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",389,95,31,36,14,21,17,28,358,107,59,51,299,117
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",592,130,47,46,33,40,14,24,545,134,86,73,459,133
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",802,119,38,39,38,39,0,12,764,113,328,105,436,98
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",429,51,0,12,0,12,0,12,429,51,134,50,295,54
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",380,47,0,12,0,12,0,12,380,47,57,35,323,52
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",437,72,0,12,0,12,0,12,437,72,46,31,391,76
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",430,80,24,26,12,17,12,19,406,84,65,47,341,87
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",501,121,93,83,54,64,39,49,408,116,95,76,313,100
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",674,139,33,36,0,12,33,36,641,148,15,23,626,153
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",756,138,72,59,23,37,49,44,684,148,52,48,632,146
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",304,84,31,42,0,12,31,42,273,76,140,69,133,55
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",680,131,148,83,77,54,71,63,532,122,53,62,479,122
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",931,120,205,89,48,44,157,81,726,134,105,63,621,149
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",502,103,17,28,0,12,17,28,485,110,99,67,386,104
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",434,93,17,28,0,12,17,28,417,100,34,38,383,93
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",302,72,33,36,33,36,0,12,269,71,71,51,198,71
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",452,62,8,13,0,12,8,13,444,62,71,33,373,69
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",568,62,29,26,9,14,20,22,539,67,56,30,483,70
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",449,51,23,17,7,8,16,14,426,50,57,30,369,54
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",395,39,4,6,0,12,4,6,391,40,19,14,372,41
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",365,48,123,47,46,30,77,40,242,45,21,17,221,45
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",427,44,44,33,5,8,39,32,383,51,36,19,347,49
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",430,92,8,13,8,13,0,12,422,93,87,53,335,88
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",661,86,58,43,7,12,51,39,603,85,35,30,568,85
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",532,98,43,74,0,12,43,74,489,80,84,62,405,88
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",515,160,0,12,0,12,0,12,515,160,17,27,498,161
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",918,163,45,42,14,22,31,36,873,162,292,114,581,152
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",712,135,182,100,89,53,93,85,530,140,125,69,405,143
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",891,178,64,49,51,46,13,20,827,179,162,116,665,182
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",812,115,127,97,74,75,53,60,685,137,128,63,557,145
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",725,101,154,107,53,46,101,102,571,123,90,54,481,121
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",643,101,39,36,0,12,39,36,604,106,96,73,508,118
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",646,98,77,78,24,35,53,77,569,103,93,57,476,106
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",402,87,53,59,15,23,38,55,349,86,77,55,272,90
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",555,109,16,27,0,12,16,27,539,111,82,60,457,112
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",606,85,70,87,14,22,56,85,536,73,45,43,491,80
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",509,56,16,17,8,12,8,12,493,59,53,35,440,66
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",598,64,9,14,0,12,9,14,589,66,148,69,441,71
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",548,75,0,12,0,12,0,12,548,75,80,35,468,77
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",537,69,10,15,0,12,10,15,527,73,95,46,432,74
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",682,90,39,39,15,12,24,38,643,89,92,43,551,97
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",899,99,143,83,58,67,85,57,756,82,56,36,700,89
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",524,78,68,60,31,39,37,48,456,79,57,40,399,79
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",556,76,26,27,5,11,21,23,530,78,99,48,431,82
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",798,99,172,72,110,63,62,58,626,115,88,62,538,111
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",536,85,57,57,57,57,0,12,479,96,116,61,363,101
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",473,96,57,43,25,30,32,37,416,102,50,38,366,104
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",267,63,0,12,0,12,0,12,267,63,48,34,219,66
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",707,126,73,70,10,17,63,70,634,116,100,58,534,118
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",666,124,66,57,35,46,31,36,600,117,0,12,600,117
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",852,153,28,33,21,31,7,17,824,161,88,71,736,170
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1182,100,67,58,27,44,40,40,1115,110,194,69,921,107
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",533,73,63,44,19,20,44,39,470,73,65,39,405,70
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",460,61,24,20,16,15,8,15,436,61,114,51,322,66
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",820,78,45,47,25,37,20,31,775,85,135,64,640,81
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",479,64,0,12,0,12,0,12,479,64,86,52,393,65
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",307,43,8,15,0,12,8,15,299,47,19,18,280,49
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",659,68,8,13,0,12,8,13,651,70,84,46,567,82
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",401,61,37,46,8,12,29,45,364,61,70,47,294,71
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",663,71,28,28,9,14,19,22,635,71,61,36,574,81
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",570,101,0,12,0,12,0,12,570,101,81,54,489,115
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",544,66,0,12,0,12,0,12,544,66,84,49,460,85
