Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",623,123,578,121,45,46
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",632,136,99,54,533,128
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",684,111,283,80,401,103
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",832,151,26,29,806,156
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",629,120,95,59,534,105
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",439,77,317,74,122,74
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",534,171,260,75,274,154
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",893,144,182,68,711,159
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",504,105,341,73,163,103
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",713,121,328,83,385,124
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",489,91,489,91,0,12
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",467,57,262,66,205,72
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",620,81,346,87,274,73
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1843,231,373,103,1470,245
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",668,137,369,89,299,141
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",790,145,235,84,555,121
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",516,116,206,64,310,104
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",389,95,256,88,133,87
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",592,130,301,101,291,112
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",802,119,285,73,517,121
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",429,51,409,52,20,19
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",380,47,373,49,7,12
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",437,72,401,59,36,47
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",430,80,375,85,55,43
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",501,121,189,76,312,119
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",674,139,305,93,369,136
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",756,138,421,108,335,135
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",304,84,201,59,103,84
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",680,131,259,84,421,136
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",931,120,281,92,650,145
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",502,103,263,88,239,93
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",434,93,313,88,121,88
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",302,72,225,67,77,54
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",452,62,334,56,118,54
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",568,62,417,60,151,52
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",449,51,350,41,99,42
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",395,39,356,43,39,32
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",365,48,156,32,209,51
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",427,44,252,40,175,52
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",430,92,328,80,102,60
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",661,86,391,70,270,81
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",532,98,431,80,101,76
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",515,160,100,60,415,154
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",918,163,155,59,763,152
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",712,135,101,67,611,144
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",891,178,136,69,755,175
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",812,115,357,101,455,114
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",725,101,377,119,348,121
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",643,101,233,86,410,106
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",646,98,364,103,282,105
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",402,87,237,73,165,72
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",555,109,220,77,335,106
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",606,85,469,86,137,102
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",509,56,383,65,126,66
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",598,64,487,65,111,48
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",548,75,540,73,8,14
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",537,69,462,65,75,50
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",682,90,385,77,297,81
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",899,99,220,75,679,104
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",524,78,304,72,220,66
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",556,76,350,88,206,80
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",798,99,296,93,502,92
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",536,85,359,79,177,74
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",473,96,252,65,221,100
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",267,63,213,55,54,46
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",707,126,395,108,312,133
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",666,124,214,80,452,113
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",852,153,494,156,358,141
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1182,100,536,101,646,111
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",533,73,381,67,152,63
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",460,61,351,58,109,44
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",820,78,412,72,408,88
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",479,64,298,54,181,66
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",307,43,229,46,78,42
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",659,68,546,71,113,46
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",401,61,253,62,148,62
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",663,71,394,76,269,75
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",570,101,506,91,64,57
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",544,66,518,68,26,31
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",539,87,466,90,73,31
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",518,74,518,74,0,12
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",390,43,337,43,53,41
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",361,44,185,40,176,38
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",496,63,367,64,129,48
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",602,73,499,71,103,52
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",664,70,425,74,239,77
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",518,93,302,72,216,75
