Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1191,322,909,291,129,152,0,12,153,138,0,12,0,12,0,12,0,12,0,12
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",995,248,745,251,141,103,0,12,68,68,10,16,0,12,31,36,0,12,31,36
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1590,317,1169,298,107,140,0,12,131,85,19,30,85,76,79,67,0,12,79,67
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1704,462,647,264,269,220,67,105,277,228,0,12,427,353,17,26,0,12,17,26
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",802,142,582,160,14,21,13,20,179,102,0,12,0,12,14,22,0,12,14,22
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",989,202,642,180,0,12,0,12,269,168,0,12,12,21,66,63,0,12,66,63
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",918,298,541,179,156,261,0,12,170,143,0,12,35,53,16,25,0,12,16,25
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1570,399,1013,273,74,83,0,12,451,324,0,12,0,12,32,37,0,12,32,37
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1037,212,855,230,0,12,0,12,166,158,0,12,0,12,16,28,0,12,16,28
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1498,310,936,237,144,140,0,12,250,138,0,12,13,21,155,180,0,12,155,180
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1360,319,1026,256,20,32,6,16,96,90,0,12,20,32,192,226,8,19,184,226
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1250,228,1019,185,0,12,0,12,208,154,0,12,0,12,23,29,8,13,15,26
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1291,209,892,193,95,85,51,53,74,68,90,118,25,39,64,47,28,33,36,34
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3373,757,1902,562,774,379,44,68,146,117,0,12,49,45,458,320,0,12,458,320
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1604,377,953,291,222,247,15,23,324,245,0,12,22,35,68,87,0,12,68,87
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1133,224,834,194,101,97,0,12,131,82,21,37,0,12,46,41,0,12,46,41
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1012,217,925,227,26,34,10,16,51,45,0,12,0,12,0,12,0,12,0,12
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",975,216,776,176,37,59,90,142,42,50,0,12,0,12,30,48,30,48,0,12
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1151,289,801,219,173,196,0,12,107,96,16,26,0,12,54,84,0,12,54,84
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1358,276,1138,225,4,10,19,30,156,156,0,12,13,21,28,47,0,12,28,47
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",1185,180,1155,181,0,12,0,12,14,17,0,12,0,12,16,19,0,12,16,19
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",837,155,566,126,12,18,0,12,154,105,0,12,44,59,61,39,13,19,48,35
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",1097,207,939,206,0,12,0,12,119,68,0,12,0,12,39,32,8,13,31,28
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",1063,274,780,220,67,79,23,36,91,130,0,12,85,120,17,26,0,12,17,26
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",1188,319,759,251,125,179,16,26,263,159,0,12,0,12,25,31,0,12,25,31
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1321,408,1024,340,6,14,0,12,109,99,0,12,29,48,153,151,0,12,153,151
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1550,367,1191,345,84,119,0,12,212,147,0,12,32,51,31,46,0,12,31,46
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",610,190,396,132,0,12,0,12,168,134,0,12,0,12,46,46,0,12,46,46
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1473,308,1088,316,18,26,15,25,230,171,79,110,0,12,43,51,0,12,43,51
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",1808,397,1025,322,192,132,0,12,436,330,71,113,54,67,30,34,0,12,30,34
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",1008,236,853,234,0,12,0,12,106,72,0,12,0,12,49,47,24,37,25,27
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",957,270,687,204,0,12,0,12,214,228,0,12,43,71,13,21,0,12,13,21
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",582,135,497,133,17,27,0,12,45,54,0,12,23,32,0,12,0,12,0,12
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",1270,235,1007,227,1,3,16,16,168,127,0,12,0,12,78,70,0,12,78,70
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1421,236,1285,248,4,7,0,12,96,84,0,12,0,12,36,43,0,12,36,43
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",1250,172,962,166,0,12,23,29,161,103,0,12,5,8,99,93,0,12,99,93
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",745,131,657,124,0,12,0,12,70,44,0,12,5,9,13,15,7,12,6,10
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",806,212,349,94,286,178,15,25,96,88,0,12,34,32,26,25,0,12,26,25
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",1085,176,827,174,76,87,6,11,76,51,0,12,22,35,78,61,6,11,72,60
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",1216,361,847,196,56,82,0,12,245,243,0,12,17,22,51,60,0,12,51,60
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1433,203,1098,190,71,65,0,12,108,59,0,12,17,28,139,87,10,16,129,79
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",967,246,915,246,0,12,0,12,14,23,0,12,0,12,38,45,0,12,38,45
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",961,230,454,182,81,99,57,102,287,141,0,12,70,112,12,18,0,12,12,18
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1396,336,805,234,73,88,13,20,411,232,0,12,16,25,78,105,0,12,78,105
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1241,453,627,300,0,12,0,12,286,181,0,12,313,398,15,24,0,12,15,24
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",1661,390,683,225,223,142,162,173,514,402,13,22,33,53,33,54,0,12,33,54
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1569,297,1092,227,68,85,12,19,255,118,0,12,0,12,142,133,0,12,142,133
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1678,290,929,325,46,53,8,14,344,123,17,25,158,166,176,165,9,20,167,158
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",1331,380,717,249,221,234,0,12,313,256,0,12,36,41,44,58,0,12,44,58
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1487,344,1353,354,0,12,0,12,27,32,0,12,0,12,107,88,0,12,107,88
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",743,230,648,208,0,12,0,12,14,22,53,109,0,12,28,44,0,12,28,44
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",1423,348,1060,335,0,12,41,36,118,75,0,12,13,22,191,112,32,33,159,111
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1484,264,1366,273,0,12,0,12,72,76,0,12,0,12,46,70,0,12,46,70
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",1364,194,1299,194,0,12,0,12,18,20,0,12,12,18,35,33,0,12,35,33
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1204,207,1144,203,0,12,0,12,34,26,0,12,0,12,26,23,8,12,18,20
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1176,164,1139,163,0,12,0,12,19,21,0,12,0,12,18,28,0,12,18,28
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",1191,163,1097,165,0,12,7,13,51,38,0,12,4,11,32,45,0,12,32,45
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1587,249,1247,185,19,21,0,12,151,94,0,12,89,127,81,76,7,10,74,75
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1756,302,959,197,8,11,0,12,401,206,0,12,166,149,222,118,51,58,171,128
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",962,216,896,209,36,56,30,31,0,12,0,12,0,12,0,12,0,12,0,12
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1318,233,778,188,67,65,11,17,344,161,0,12,22,37,96,58,13,19,83,55
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1452,296,1301,290,40,37,4,6,75,74,0,12,0,12,32,38,0,12,32,38
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",874,192,672,166,27,43,15,22,109,102,0,12,0,12,51,52,0,12,51,52
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",970,190,790,182,9,21,3,7,139,97,0,12,10,16,19,22,10,16,9,14
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",684,185,503,154,0,12,51,73,42,53,0,12,0,12,88,109,0,12,88,109
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",2048,642,1566,373,0,12,70,88,93,81,14,21,149,189,156,113,70,89,86,64
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",1662,314,1352,315,13,23,0,12,101,75,0,12,42,55,154,130,0,12,154,130
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1394,402,951,347,15,25,0,12,398,217,0,12,0,12,30,34,0,12,30,34
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1961,279,1383,261,149,114,0,12,310,118,39,63,17,27,63,49,0,12,63,49
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",1360,263,1093,215,0,12,0,12,121,68,0,12,58,59,88,61,0,12,88,61
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",1024,202,749,171,13,21,9,15,195,134,0,12,0,12,58,61,0,12,58,61
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1361,235,1206,248,8,12,0,12,111,46,0,12,17,24,19,19,0,12,19,19
