Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",531,128,485,130,46,36
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",600,128,101,52,499,143
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",705,119,328,91,377,109
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",782,161,13,22,769,163
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",564,108,83,60,481,95
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",454,81,357,72,97,85
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",467,121,259,60,208,107
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",855,143,177,72,678,147
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",529,97,397,89,132,63
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",791,150,370,103,421,137
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",477,103,445,100,32,37
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",508,65,275,58,233,71
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",569,76,349,75,220,80
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1648,238,326,93,1322,237
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",699,153,280,92,419,143
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",814,136,193,84,621,139
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",503,133,236,66,267,137
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",486,102,238,83,248,119
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",608,134,294,98,314,112
