Id,Id2,Geography,Edu Total,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",936,190,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,43,67,0,12,0,12,0,12,0,12,56,52,0,12,25,29,98,63,28,30,439,179,144,88,77,51,26,30
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",868,265,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,99,76,164,168,82,84,31,48,162,98,34,30,163,79,76,50,32,55,12,19
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1199,290,23,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,211,180,49,47,103,87,128,92,85,58,380,110,112,64,25,30,70,59
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1039,217,61,56,0,12,0,12,0,12,0,12,41,66,0,12,0,12,41,74,0,12,37,46,0,12,12,19,40,63,14,24,107,90,16,26,136,99,217,111,63,44,119,60,107,81,0,12,28,45
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",668,142,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,30,102,87,66,69,23,28,93,65,42,36,197,86,57,72,25,40,23,27
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",697,177,22,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,44,70,55,23,39,24,32,66,61,37,37,269,107,113,75,13,20,13,21
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",731,205,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,28,75,108,55,54,47,61,39,35,68,52,38,40,26,31,245,115,104,119,0,12,16,26
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1278,298,0,12,0,12,0,12,0,12,0,12,21,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,257,116,15,24,100,89,109,80,198,143,328,138,193,124,22,36,35,41
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",820,193,94,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,11,0,12,0,12,14,22,0,12,13,21,56,42,0,12,19,30,215,107,5,11,221,98,143,88,0,12,36,41
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1138,248,26,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,19,30,0,12,0,12,103,60,0,12,122,104,119,77,197,131,417,153,34,39,16,25,67,66
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",997,196,27,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,22,80,79,43,45,33,43,73,55,28,32,397,126,252,125,44,49,11,19
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",842,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,11,13,21,40,46,16,19,210,101,11,16,65,39,110,50,82,46,223,91,34,34,25,28,7,11
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1028,156,16,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,41,0,12,44,37,140,66,26,19,86,42,222,73,96,58,186,78,154,64,23,36,0,12
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",2728,587,34,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,82,0,12,36,50,25,39,0,12,527,286,168,112,195,121,602,237,307,171,488,192,196,112,50,47,29,34
