Id,Id2,Geography,Population,Margin of Error; Total
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1248,258
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1336,337
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1785,413
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1953,444
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",939,221
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",1032,290
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",1061,411
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1601,300
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1126,262
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1755,420
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1327,322
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1325,196
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1505,229
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3391,423
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1500,359
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1367,237
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1238,319
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",780,210
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1192,301
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1955,480
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",1275,206
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",834,141
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",1045,164
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",1070,244
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",1137,355
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1636,531
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1803,332
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",928,342
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1465,384
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",2108,386
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",1035,292
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",982,252
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",526,159
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",1139,204
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1335,191
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",1010,124
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",813,72
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",947,221
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",1021,135
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",1349,261
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1380,269
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",1209,324
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",779,233
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1875,302
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1833,445
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",1254,280
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1622,265
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1234,312
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",1507,288
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1525,404
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",1221,393
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",1411,315
