Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",76297,23332
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",29349,7959
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",35816,8021
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",19853,3628
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",32579,6020
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",43134,9975
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",24472,9328
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",29251,6799
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",31215,7519
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",36986,6448
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",45076,8022
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",40083,6233
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",39858,14518
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",29750,8685
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",36966,7422
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",26172,5165
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",33032,5442
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",40929,8350
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",37651,9969
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",54879,15314
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",73599,11783
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",66228,13811
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",54036,8526
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",40549,7005
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",31049,7515
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",28702,7255
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",30824,6570
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",30301,6434
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",33076,9694
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",23894,4163
