Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",629,95,1,9,0,12,1,9,628,96,127,68,501,109
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",760,139,153,93,32,52,121,81,607,129,108,72,499,129
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",684,110,160,84,86,71,74,49,524,109,127,81,397,101
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",928,160,299,118,178,91,121,72,629,147,39,36,590,147
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",546,111,77,45,42,41,35,33,469,107,64,50,405,101
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",471,93,22,35,22,35,0,12,449,94,53,49,396,97
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",468,142,100,108,0,12,100,108,368,102,64,55,304,91
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",835,130,71,51,53,49,18,32,764,132,62,48,702,134
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",541,95,0,12,0,12,0,12,541,95,72,53,469,98
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",754,131,201,118,27,33,174,113,553,117,141,74,412,117
