location,neighborhood_short,neigbhorhood_long,council_district,zipcode,urban_village,geographical_area,latitude,longitude
530330001001,Cedar Park,LAKE CITY,SCC5,98125,None,Seattle,-122.28469,47.72683
530330001002,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.29247,47.72932
530330001003,Cedar Park,LAKE CITY,SCC5,98125,None,Seattle,-122.28945,47.722809999999996
530330001004,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.29445,47.73194
530330001005,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.29444,47.72293
530330002001,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.29892,47.72909
530330002002,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.30283,47.721790000000006
530330002003,Pinehurst,NORTHGATE,SCC5,98125,None,Seattle,-122.31903,47.72793
530330002004,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.31018,47.72866
530330002005,Pinehurst,NORTHGATE,SCC5,98125,None,Seattle,-122.31391,47.72274
530330002006,Olympic Hills,LAKE CITY,SCC5,98125,None,Seattle,-122.30468,47.72922
530330003001,Haller Lake,NORTHGATE,SCC5,98125,None,Seattle,-122.3289,47.73007
530330003002,Haller Lake,NORTHGATE,SCC5,98133,None,Seattle,-122.34043,47.73138
530330004011,Bitter Lake,NO BROADER TERM,SCC5,98133,Bitter Lake Village,Seattle,-122.34948999999999,47.73015
530330004012,Broadview,NO BROADER TERM,SCC5,98177,None,Seattle,-122.35825,47.72959
530330004013,Bitter Lake,NO BROADER TERM,SCC5,98133,Bitter Lake Village,Seattle,-122.35186999999999,47.7258
530330004021,Broadview,NO BROADER TERM,SCC5,98133,None,Seattle,-122.35564,47.72234
530330004022,Bitter Lake,NO BROADER TERM,SCC5,98133,None,Seattle,-122.34755,47.71487
530330004023,Broadview,NO BROADER TERM,SCC5,98133,None,Seattle,-122.35556000000001,47.71416
530330004024,Broadview,NO BROADER TERM,SCC5,98133,None,Seattle,-122.35615,47.71835
530330005001,Broadview,NO BROADER TERM,SCC5,98177,None,Seattle,-122.36979,47.72437
530330005002,Broadview,NO BROADER TERM,SCC5,98177,None,Seattle,-122.36365,47.7206
530330005003,Broadview,NO BROADER TERM,SCC5,98177,None,Seattle,-122.36628999999999,47.71526
530330006001,Haller Lake,NORTHGATE,SCC5,98133,None,Seattle,-122.33652,47.725120000000004
530330006002,Pinehurst,NORTHGATE,SCC5,98125,None,Seattle,-122.31526000000001,47.7149
530330006003,Haller Lake,NORTHGATE,SCC5,98133,None,Seattle,-122.33811000000001,47.718720000000005
530330006004,Haller Lake,NORTHGATE,SCC5,98133,None,Seattle,-122.33713,47.71208
530330006005,Haller Lake,NORTHGATE,SCC5,98125,None,Seattle,-122.32558999999999,47.71775
530330006006,Pinehurst,NORTHGATE,SCC5,98125,None,Seattle,-122.31905,47.71607
530330007001,Cedar Park,LAKE CITY,SCC5,98125,Lake City,Seattle,-122.2946,47.71744
530330007002,Meadowbrook,LAKE CITY,SCC5,98125,None,Seattle,-122.29738,47.71478
530330007003,Victory Heights,LAKE CITY,SCC5,98125,None,Seattle,-122.30723,47.71756
530330007004,Victory Heights,LAKE CITY,SCC5,98125,None,Seattle,-122.30713999999999,47.71393
