PUMA,SERIALNO,RAC1P,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,ENG,JWTR,JWRIP,LANX,PINCP,LANP,race,neighborhood,language,HINCP,NP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
11604,127,6,45,2.0,2,2,2.0,2.0,2.0,,,1.0,16800.0,1960.0,Asian alone,"Southeast, Capital Hill",Vietnamese,17593.321570319607,2.0,2.0,Under 60,2.0,2.0,2.0
11604,127,6,67,2.0,2,2,2.0,2.0,3.0,,,1.0,0.0,1960.0,Asian alone,"Southeast, Capital Hill",Vietnamese,17593.321570319607,2.0,2.0,Under 60,2.0,2.0,2.0
11604,747,6,36,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,155000.0,,Asian alone,"Southeast, Capital Hill",,246097.05768006595,4.0,0.0,Over 60,0.0,0.0,0.0
11604,747,6,39,2.0,2,2,2.0,2.0,,1.0,4.0,2.0,80000.0,,Asian alone,"Southeast, Capital Hill",,246097.05768006595,4.0,0.0,Over 60,0.0,0.0,0.0
11604,747,6,8,2.0,2,2,,2.0,,,,2.0,,,Asian alone,"Southeast, Capital Hill",,246097.05768006595,4.0,0.0,Over 60,0.0,0.0,0.0
11604,747,6,4,,2,2,,,,,,,,,Asian alone,"Southeast, Capital Hill",,246097.05768006595,4.0,0.0,Over 60,0.0,0.0,0.0
11602,1984,1,41,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,53000.0,,White alone,Northeast,,55502.74066827019,3.0,3.0,Over 60,0.0,0.0,0.0
11602,1984,1,13,2.0,2,2,,2.0,,,,2.0,,,White alone,Northeast,,55502.74066827019,3.0,3.0,Over 60,0.0,0.0,0.0
11602,1984,1,11,2.0,2,2,,2.0,,,,2.0,,,White alone,Northeast,,55502.74066827019,3.0,3.0,Over 60,0.0,0.0,0.0
11605,2319,6,49,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0,38000.0,2000.0,Asian alone,"West, Duwamish, Beacon Hill",Mandarin,39794.41783762768,3.0,3.0,Under 60,3.0,3.0,0.0
11605,2319,6,51,2.0,2,2,2.0,2.0,1.0,,,1.0,0.0,2000.0,Asian alone,"West, Duwamish, Beacon Hill",Mandarin,39794.41783762768,3.0,3.0,Under 60,3.0,3.0,0.0
11605,2319,6,14,2.0,2,1,,2.0,2.0,,,1.0,,2000.0,Asian alone,"West, Duwamish, Beacon Hill",Mandarin,39794.41783762768,3.0,3.0,Under 60,3.0,3.0,0.0
11602,2975,1,54,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,26900.0,,White alone,Northeast,,78436.89200100825,3.0,0.0,Over 60,0.0,0.0,0.0
11602,2975,1,15,2.0,2,2,2.0,2.0,,,,2.0,0.0,,White alone,Northeast,,78436.89200100825,3.0,0.0,Over 60,0.0,0.0,0.0
11602,2975,1,45,2.0,2,2,2.0,2.0,,1.0,2.0,2.0,48000.0,,White alone,Northeast,,78436.89200100825,3.0,0.0,Over 60,0.0,0.0,0.0
11603,3231,1,32,2.0,2,2,2.0,2.0,,10.0,,2.0,22900.0,,White alone,"Downtown, Queen Anne, Magnolia",,23981.372854780897,1.0,1.0,Under 60,1.0,1.0,1.0
11602,3314,1,19,2.0,2,2,2.0,2.0,1.0,11.0,,1.0,55000.0,1200.0,White alone,Northeast,Spanish,,,,,,,
11603,3447,3,35,2.0,2,2,2.0,2.0,,10.0,,2.0,51000.0,,American Indian alone,"Downtown, Queen Anne, Magnolia",,215727.63354082376,2.0,0.0,Over 60,0.0,0.0,0.0
11603,3447,1,38,2.0,2,2,2.0,2.0,,10.0,,2.0,155000.0,,White alone,"Downtown, Queen Anne, Magnolia",,215727.63354082376,2.0,0.0,Over 60,0.0,0.0,0.0
11601,3608,1,24,2.0,2,2,2.0,2.0,,2.0,,2.0,120200.0,,White alone,Northwest,,223267.62849953218,2.0,0.0,Over 60,0.0,0.0,0.0
11601,3608,1,24,2.0,2,2,2.0,2.0,,2.0,,2.0,93000.0,,White alone,Northwest,,223267.62849953218,2.0,0.0,Over 60,0.0,0.0,0.0
11601,5138,1,62,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,80000.0,,White alone,Northwest,,83777.72176342671,1.0,0.0,Over 60,0.0,0.0,0.0
11601,5349,1,30,2.0,2,2,2.0,2.0,,2.0,,2.0,52000.0,,White alone,Northwest,,54455.51914622736,1.0,1.0,Over 60,0.0,0.0,0.0
11605,5517,1,67,2.0,2,1,1.0,1.0,,,,2.0,13700.0,,White alone,"West, Duwamish, Beacon Hill",,14346.934851986824,2.0,2.0,Under 60,2.0,2.0,2.0
11605,5517,1,59,2.0,1,2,2.0,1.0,,,,2.0,0.0,,White alone,"West, Duwamish, Beacon Hill",,14346.934851986824,2.0,2.0,Under 60,2.0,2.0,2.0
