SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
127,17593.321570319607,2,122,122,Under 60,122,122,122
747,246097.05768006595,4,74,0,Over 60,0,0,0
1984,55502.74066827019,3,69,69,Over 60,0,0,0
2319,39794.41783762768,3,89,89,Under 60,89,89,0
2975,78436.89200100825,3,77,0,Over 60,0,0,0
3231,23981.372854780897,1,96,96,Under 60,96,96,96
3447,215727.63354082376,2,241,0,Over 60,0,0,0
3608,223267.62849953218,2,107,0,Over 60,0,0,0
5138,83777.72176342671,1,174,0,Over 60,0,0,0
5349,54455.51914622736,1,141,141,Over 60,0,0,0
5517,14346.934851986824,2,102,102,Under 60,102,102,102
5977,120325.75288272162,2,115,0,Over 60,0,0,0
6939,8796.660785159804,1,154,154,Under 60,154,154,154
7055,74562.17236944978,5,128,128,Over 60,0,0,0
7472,160434.33717696214,4,43,0,Over 60,0,0,0
7954,13613.87978655684,2,74,74,Under 60,74,74,74
8602,125666.58264514006,2,257,0,Over 60,0,0,0
8675,217822.07658490943,3,115,0,Over 60,0,0,0
10422,72258.28502095553,1,98,0,Over 60,0,0,0
10750,450305.25447841856,3,131,0,Over 60,0,0,0
10932,361500.86940918624,4,137,0,Over 60,0,0,0
10941,136390.1310308587,2,108,0,Over 60,0,0,0
11185,248191.5007241516,2,107,0,Over 60,0,0,0
11597,103674.93068224055,2,129,0,Over 60,0,0,0
11690,90061.05089568371,1,548,0,Over 60,0,0,0
11752,29699.20236513477,1,510,510,Under 60,510,510,0
13526,15394.156374029657,1,200,200,Under 60,200,200,200
13694,89013.82937364088,1,55,0,Over 60,0,0,0
14144,96344.38002794072,2,118,0,Over 60,0,0,0
14663,236672.06398168046,2,116,0,Over 60,0,0,0
15719,218345.68734593087,2,64,0,Over 60,0,0,0
15874,89013.82937364088,2,56,0,Over 60,0,0,0
15988,21677.48550628666,2,149,149,Under 60,149,149,149
16191,21991.651962899512,1,145,145,Under 60,145,145,145
16543,134463.24343029986,2,119,0,Over 60,0,0,0
16705,40841.639359670524,1,65,65,Under 60,65,0,0
17211,91736.60533095224,5,78,0,Over 60,0,0,0
17269,42621.91594714334,1,67,67,Over 60,0,0,0
17408,49428.855840421755,1,107,107,Over 60,0,0,0
17721,146611.01308599673,3,70,0,Over 60,0,0,0
18780,39155.61270918156,1,124,124,Under 60,124,0,0
20904,16755.54435268534,1,231,231,Under 60,231,231,231
21289,39270.80707660627,1,97,97,Under 60,97,0,0
21669,109958.25981449755,1,105,0,Over 60,0,0,0
22320,62833.29132257003,1,90,0,Over 60,0,0,0
22726,43197.887784266895,1,69,69,Over 60,0,0,0
23035,55502.74066827019,2,184,184,Over 60,0,0,0
23076,117288.8104687974,2,70,0,Over 60,0,0,0
23659,10472.21522042834,2,127,127,Under 60,127,127,127
24702,7330.550654299837,2,91,91,Under 60,91,91,91
25800,77525.809276831,2,111,0,Over 60,0,0,0
26218,74562.17236944978,3,64,0,Over 60,0,0,0
26474,31416.645661285016,1,361,361,Under 60,361,361,0
26688,489052.45079400344,4,156,0,Over 60,0,0,0
26978,63566.34638800001,1,189,0,Over 60,0,0,0
27057,825420.0036741616,4,68,0,Over 60,0,0,0
27074,16755.54435268534,6,139,139,Under 60,139,139,139
27773,217455.54905219446,4,65,0,Over 60,0,0,0
28590,3036.9424139242183,1,56,56,Under 60,56,56,56
28811,305474.51797989465,2,119,0,Over 60,0,0,0
28921,54455.51914622736,1,234,234,Over 60,0,0,0
28951,221277.9076076508,2,99,0,Over 60,0,0,0
29127,136138.7978655684,2,124,0,Over 60,0,0,0
29548,93307.4376140165,2,75,0,Over 60,0,0,0
30311,230388.73484942346,2,109,0,Over 60,0,0,0
30712,17383.877265911044,1,64,64,Under 60,64,64,64
31578,24714.427920210877,2,129,129,Under 60,129,129,129
32218,9969.548889847778,1,76,76,Under 60,76,76,76
32892,7016.384197686987,1,131,131,Under 60,131,131,131
33144,68593.00969380562,2,104,0,Over 60,0,0,0
33984,109958.25981449755,2,94,0,Over 60,0,0,0
34117,85243.83189428668,4,72,0,Over 60,0,0,0
34264,246201.77983227023,3,123,0,Over 60,0,0,0
34862,206302.63984243828,3,63,0,Over 60,0,0,0
35382,106921.31740057333,2,104,0,Over 60,0,0,0
36414,83851.0272699697,1,137,0,Over 60,0,0,0
36737,57597.183712355865,1,122,0,Over 60,0,0,0
36900,4188.886088171335,1,242,242,Under 60,242,242,242
38017,170382.94163636907,1,146,0,Over 60,0,0,0
38037,209.44430440856678,1,70,70,Under 60,70,70,70
38499,263323.85171767056,4,37,0,Over 60,0,0,0
38820,13613.87978655684,1,79,79,Under 60,79,79,79
40153,228294.2918053378,4,105,0,Over 60,0,0,0
40166,62833.29132257003,1,118,0,Over 60,0,0,0
