PUMA,SERIALNO,RAC1P,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,ENG,JWTR,JWTR,JWRIP,JWRIP,LANX,PINCP,LANP,HISP,PWGTP,JWMNP,JWTR,JWTR,JWRIP,JWRIP,MIG,SCHL,race,neighborhood,hispanic,Category,Code,Description
11604,127,6,45,2.0,2,2,2.0,2.0,2.0,,,,,1.0,16800.0,1960.0,1,122,,,,,,1.0,20.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,LANP,1960.0,Vietnamese
11604,127,6,67,2.0,2,2,2.0,2.0,3.0,,,,,1.0,0.0,1960.0,1,130,,,,,,1.0,18.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,LANP,1960.0,Vietnamese
11604,747,6,36,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,155000.0,,1,74,30.0,1.0,1.0,1.0,1.0,1.0,22.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,
11604,747,6,39,2.0,2,2,2.0,2.0,,1.0,1.0,4.0,4.0,2.0,80000.0,,1,80,30.0,1.0,1.0,4.0,4.0,1.0,21.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,
11604,747,6,8,2.0,2,2,,2.0,,,,,,2.0,,,1,64,,,,,,1.0,5.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,
11604,747,6,4,,2,2,,,,,,,,,,,1,76,,,,,,1.0,2.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,
11602,1984,1,41,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,53000.0,,1,69,25.0,1.0,1.0,1.0,1.0,3.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,1984,1,13,2.0,2,2,,2.0,,,,,,2.0,,,1,50,,,,,,3.0,10.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,1984,1,11,2.0,2,2,,2.0,,,,,,2.0,,,1,51,,,,,,3.0,9.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11605,2319,6,49,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,38000.0,2000.0,1,89,25.0,1.0,1.0,1.0,1.0,3.0,20.0,Asian alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,2000.0,Mandarin
11605,2319,6,51,2.0,2,2,2.0,2.0,1.0,,,,,1.0,0.0,2000.0,1,67,,,,,,3.0,16.0,Asian alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,2000.0,Mandarin
11605,2319,6,14,2.0,2,1,,2.0,2.0,,,,,1.0,,2000.0,1,65,,,,,,3.0,10.0,Asian alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,2000.0,Mandarin
11602,2975,1,54,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,26900.0,,1,77,30.0,1.0,1.0,1.0,1.0,3.0,19.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,2975,1,15,2.0,2,2,2.0,2.0,,,,,,2.0,0.0,,1,64,,,,,,3.0,12.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,2975,1,45,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,48000.0,,1,74,35.0,1.0,1.0,2.0,2.0,3.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11603,3231,1,32,2.0,2,2,2.0,2.0,,10.0,10.0,,,2.0,22900.0,,1,95,15.0,10.0,10.0,,,1.0,18.0,White alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11602,3314,1,19,2.0,2,2,2.0,2.0,1.0,11.0,11.0,,,1.0,55000.0,1200.0,1,14,,11.0,11.0,,,1.0,19.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,LANP,1200.0,Spanish
11603,3447,3,35,2.0,2,2,2.0,2.0,,10.0,10.0,,,2.0,51000.0,,1,240,15.0,10.0,10.0,,,1.0,21.0,American Indian alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11603,3447,1,38,2.0,2,2,2.0,2.0,,10.0,10.0,,,2.0,155000.0,,1,235,25.0,10.0,10.0,,,1.0,21.0,White alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11601,3608,1,24,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,120200.0,,1,107,65.0,2.0,2.0,,,3.0,21.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,,,
11601,3608,1,24,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,93000.0,,1,139,15.0,2.0,2.0,,,3.0,21.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,,,
11601,5138,1,62,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,80000.0,,1,174,12.0,1.0,1.0,1.0,1.0,1.0,22.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,,,
11601,5349,1,30,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,52000.0,,1,141,30.0,2.0,2.0,,,1.0,21.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,,,
11605,5517,1,67,2.0,2,1,1.0,1.0,,,,,,2.0,13700.0,,1,102,,,,,,1.0,16.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,5517,1,59,2.0,1,2,2.0,1.0,,,,,,2.0,0.0,,1,119,,,,,,1.0,11.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,5977,1,69,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,96900.0,,1,116,30.0,2.0,2.0,,,1.0,22.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,5977,1,46,2.0,2,2,2.0,1.0,,10.0,10.0,,,2.0,18000.0,,1,141,3.0,10.0,10.0,,,1.0,19.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11604,6163,1,18,2.0,2,2,2.0,2.0,,11.0,11.0,,,2.0,1820.0,,1,82,,11.0,11.0,,,3.0,18.0,White alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,
11605,6939,6,85,2.0,2,2,2.0,2.0,3.0,,,,,1.0,8400.0,1970.0,1,154,,,,,,1.0,20.0,Asian alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,1970.0,Chinese
11604,7055,1,41,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,11200.0,1200.0,17,127,15.0,1.0,1.0,1.0,1.0,1.0,21.0,White alone,"Southeast, Capital Hill",Spanish/Hispanic/Latino origin,LANP,1200.0,Spanish
11604,7055,1,41,2.0,2,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,60000.0,1200.0,8,196,15.0,1.0,1.0,1.0,1.0,1.0,16.0,White alone,"Southeast, Capital Hill",Spanish/Hispanic/Latino origin,LANP,1200.0,Spanish
11604,7055,1,14,2.0,2,2,,2.0,1.0,,,,,1.0,,1200.0,17,100,,,,,,1.0,11.0,White alone,"Southeast, Capital Hill",Spanish/Hispanic/Latino origin,LANP,1200.0,Spanish
11604,7055,1,4,,2,2,,,,,,,,,,,17,111,,,,,,1.0,1.0,White alone,"Southeast, Capital Hill",Spanish/Hispanic/Latino origin,,,
11604,7055,1,81,2.0,2,2,2.0,2.0,4.0,,,,,1.0,0.0,1200.0,17,169,,,,,,2.0,1.0,White alone,"Southeast, Capital Hill",Spanish/Hispanic/Latino origin,LANP,1200.0,Spanish
11602,7230,2,19,2.0,2,2,2.0,2.0,,,,,,2.0,5000.0,,1,33,,,,,,1.0,19.0,Black or African American alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,7309,1,18,2.0,2,2,2.0,2.0,,10.0,10.0,,,2.0,8000.0,,1,55,20.0,10.0,10.0,,,3.0,19.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,7472,1,55,2.0,2,1,2.0,2.0,,11.0,11.0,,,2.0,7200.0,,1,43,,11.0,11.0,,,1.0,18.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,7472,1,57,2.0,2,1,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,72000.0,,1,41,45.0,1.0,1.0,1.0,1.0,1.0,19.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,7472,1,29,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,24000.0,,1,51,5.0,1.0,1.0,1.0,1.0,1.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,7472,1,29,2.0,2,1,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,50000.0,,1,42,20.0,1.0,1.0,1.0,1.0,1.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11603,7954,1,24,2.0,2,2,2.0,2.0,,,,,,2.0,6000.0,,1,73,,,,,,3.0,21.0,White alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11603,7954,9,23,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,7000.0,,1,65,30.0,2.0,2.0,,,3.0,21.0,Two or More Races,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11603,8602,1,22,2.0,2,2,2.0,2.0,,10.0,10.0,,,2.0,60000.0,,1,257,10.0,10.0,10.0,,,3.0,21.0,White alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,,,
11603,8602,6,22,2.0,2,2,2.0,2.0,1.0,10.0,10.0,,,1.0,60000.0,1350.0,1,164,10.0,10.0,10.0,,,3.0,21.0,Asian alone,"Downtown, Queen Anne, Magnolia",Not Spanish/Hispanic/Latino origin,LANP,1350.0,Hindi
11605,8675,1,59,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,48000.0,,1,115,15.0,1.0,1.0,1.0,1.0,1.0,18.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,8675,1,41,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,160000.0,1582.0,1,113,30.0,1.0,1.0,1.0,1.0,1.0,21.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,1582.0,Hungarian
11605,8675,1,12,2.0,2,2,,2.0,1.0,,,,,1.0,,1582.0,1,99,,,,,,1.0,8.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,1582.0,Hungarian
11602,10289,6,19,2.0,2,2,2.0,2.0,2.0,,,,,1.0,0.0,1970.0,1,134,,,,,,3.0,19.0,Asian alone,Northeast,Not Spanish/Hispanic/Latino origin,LANP,1970.0,Chinese
11602,10422,1,86,2.0,2,2,1.0,1.0,,,,,,2.0,69000.0,,1,98,,,,,,1.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11605,10750,1,53,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,403000.0,,1,130,10.0,1.0,1.0,1.0,1.0,1.0,23.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,10750,1,54,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,7000.0,,1,102,5.0,1.0,1.0,1.0,1.0,1.0,21.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11605,10750,1,22,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,20000.0,,1,116,15.0,1.0,1.0,1.0,1.0,1.0,21.0,White alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,,,
11602,10932,1,42,2.0,2,2,2.0,2.0,,9.0,9.0,,,2.0,255000.0,,1,137,20.0,9.0,9.0,,,1.0,21.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,10932,1,42,2.0,2,2,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,90200.0,,1,143,15.0,1.0,1.0,1.0,1.0,1.0,24.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,10932,1,7,2.0,2,2,,2.0,,,,,,2.0,,,1,100,,,,,,1.0,3.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11602,10932,1,3,,2,2,,,,,,,,,,,1,144,,,,,,1.0,1.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,
11601,10941,1,65,2.0,2,2,2.0,2.0,,2.0,2.0,,,2.0,5240.0,,1,107,20.0,2.0,2.0,,,1.0,21.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,,,
11601,10941,1,55,2.0,2,2,2.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,125000.0,1110.0,1,100,20.0,1.0,1.0,5.0,5.0,1.0,24.0,White alone,Northwest,Not Spanish/Hispanic/Latino origin,LANP,1110.0,German
