Block_Group,Population,Year
530330001001,1288,2000
530330001002,1327,2000
530330001003,1548,2000
530330001004,1367,2000
530330002001,1048,2000
530330002002,783,2000
530330002003,1516,2000
530330002004,1092,2000
530330002005,754,2000
530330002006,780,2000
530330002007,1372,2000
530330003001,674,2000
530330003002,991,2000
530330003003,820,2000
530330004011,1910,2000
530330004012,1424,2000
530330004013,1400,2000
530330004021,953,2000
530330004022,856,2000
530330004023,1143,2000
530330004024,675,2000
530330004025,955,2000
530330005001,1395,2000
530330005002,861,2000
530330005003,1040,2000
530330006001,1308,2000
530330006002,1381,2000
530330006003,1187,2000
530330006004,1470,2000
530330006005,819,2000
530330006006,1196,2000
530330007001,923,2000
530330007002,803,2000
530330007003,842,2000
530330007004,871,2000
530330007005,750,2000
530330008001,732,2000
530330008002,806,2000
530330008003,1062,2000
530330009001,1126,2000
530330009002,918,2000
530330010001,779,2000
530330010002,926,2000
530330011001,722,2000
530330011002,999,2000
530330011003,648,2000
530330012001,556,2000
530330012002,685,2000
530330012003,1152,2000
530330012004,1128,2000
530330012005,1431,2000
530330012006,1154,2000
530330013001,1207,2000
530330013002,661,2000
530330013003,1018,2000
530330013004,1297,2000
530330014001,797,2000
530330014002,719,2000
530330014003,1100,2000
530330014004,612,2000
530330014005,865,2000
530330014006,580,2000
530330015001,1027,2000
530330015002,708,2000
530330015003,615,2000
530330016001,1347,2000
530330016002,609,2000
530330016003,1339,2000
530330016004,651,2000
530330017001,1042,2000
530330017002,1135,2000
530330017003,1187,2000
530330017004,1020,2000
530330017005,944,2000
530330017006,887,2000
530330017007,1233,2000
530330018001,1359,2000
530330018002,1280,2000
530330018003,1352,2000
530330019001,846,2000
530330019002,706,2000
530330019003,974,2000
530330019004,897,2000
530330020001,1392,2000
530330020002,903,2000
530330020003,821,2000
530330021001,905,2000
530330021002,565,2000
530330021003,1339,2000
530330021004,828,2000
530330022001,1535,2000
530330022002,1360,2000
530330022003,972,2000
530330022004,558,2000
530330022005,971,2000
530330024001,892,2000
530330024002,871,2000
530330024003,1065,2000
530330025001,695,2000
530330025002,643,2000
530330025003,1203,2000
530330026001,1028,2000
530330026002,994,2000
530330026003,995,2000
530330026004,827,2000
530330026005,678,2000
530330027001,925,2000
530330027002,839,2000
530330027003,760,2000
530330027004,902,2000
530330027005,731,2000
530330027006,786,2000
530330028001,848,2000
530330028002,907,2000
530330028003,926,2000
530330028004,845,2000
530330028005,706,2000
530330029001,680,2000
530330029002,1331,2000
530330029003,1128,2000
530330029004,845,2000
530330030001,1022,2000
530330030002,746,2000
530330030003,804,2000
530330030004,709,2000
530330030005,793,2000
530330030006,602,2000
530330030007,574,2000
530330031001,786,2000
530330031002,778,2000
530330031003,842,2000
530330031004,808,2000
530330031005,581,2000
530330031006,571,2000
530330031007,731,2000
530330031008,941,2000
530330032001,889,2000
530330032002,1112,2000
530330032003,877,2000
530330032004,1200,2000
530330032005,734,2000
530330032006,1356,2000
530330032007,1045,2000
530330033001,711,2000
530330033002,1042,2000
530330033003,1515,2000
530330033004,1135,2000
530330033005,667,2000
530330033006,762,2000
530330034001,835,2000
530330034002,687,2000
530330034003,952,2000
530330034004,724,2000
530330035001,848,2000
530330035002,457,2000
530330035003,736,2000
530330035004,668,2000
530330035005,930,2000
530330036001,1117,2000
530330036002,1095,2000
530330036003,1241,2000
530330036004,1433,2000
530330038001,675,2000
530330038002,546,2000
530330038003,759,2000
530330039001,555,2000
530330039002,509,2000
530330039003,502,2000
530330039004,1104,2000
530330040001,1517,2000
530330040002,868,2000
530330041001,1073,2000
530330041002,646,2000
530330041003,1189,2000
530330041004,1257,2000
530330041005,1040,2000
530330041006,705,2000
530330041007,660,2000
530330041008,935,2000
530330042001,1248,2000
530330042002,990,2000
530330042003,1016,2000
530330042004,706,2000
530330042005,697,2000
530330042006,924,2000
530330042007,831,2000
530330042008,790,2000
530330043001,1023,2000
530330043002,781,2000
530330043003,864,2000
530330043004,2205,2000
530330043005,1259,2000
530330044001,1041,2000
530330044002,662,2000
530330044003,1395,2000
530330044004,1597,2000
530330044005,1045,2000
530330045001,923,2000
530330045002,712,2000
530330045003,779,2000
530330046001,1033,2000
530330046002,1191,2000
530330046003,799,2000
530330047001,1168,2000
530330047002,643,2000
530330047003,1236,2000
530330047004,950,2000
530330047005,919,2000
530330048001,652,2000
530330048002,1182,2000
530330048003,1105,2000
530330048004,1386,2000
530330049001,915,2000
530330049002,726,2000
530330049003,1284,2000
530330049004,793,2000
530330049005,1015,2000
530330049006,792,2000
530330050001,765,2000
530330050002,924,2000
530330050003,1005,2000
530330050004,558,2000
530330051001,709,2000
530330051002,593,2000
530330051003,776,2000
530330051004,641,2000
530330051005,734,2000
530330052001,1121,2000
530330052002,1089,2000
530330052003,868,2000
530330052004,1153,2000
530330052005,1050,2000
530330053011,5575,2000
530330053012,816,2000
530330053013,1138,2000
530330053014,980,2000
530330053021,309,2000
530330053022,39,2000
530330053023,2180,2000
530330054001,978,2000
530330054002,1113,2000
530330054003,545,2000
530330054004,893,2000
530330054005,712,2000
530330056001,906,2000
530330056002,928,2000
530330056003,810,2000
530330056004,881,2000
530330056005,894,2000
530330056006,575,2000
530330056007,540,2000
530330056008,695,2000
530330057001,750,2000
