block_group,mode_index,affordability_index
5.3033E+11,0.799285714,0.443119304
5.3033E+11,0.718571429,0.509514516
5.3033E+11,0.669285714,0.37695868
5.3033E+11,0.787857143,0.361271729
5.3033E+11,0.840714286,0.813024289
5.3033E+11,0.634285714,0.237179394
5.3033E+11,0.552857143,0.13924564
5.3033E+11,0.847857143,0.841586977
5.3033E+11,0.735,0.25664695
5.3033E+11,0.733571429,0.467833603
5.3033E+11,0.772857143,0.503349119
5.3033E+11,0.810714286,0.928564732
5.3033E+11,0.678571429,0.24824133
5.3033E+11,0.632857143,0.347277815
5.3033E+11,0.853571429,0.946051422
5.3033E+11,0.8,0.658006323
5.3033E+11,0.814285714,0.607679102
5.3033E+11,0.592857143,0.478714128
5.3033E+11,0.794285714,0.568283016
5.3033E+11,0.71,0.115314268
5.3033E+11,0.847857143,0.744006888
5.3033E+11,0.685714286,0.501139511
5.3033E+11,0.561428571,0.417174295
5.3033E+11,0.802142857,0.543547197
5.3033E+11,0.775714286,0.524705078
5.3033E+11,0.72,0.440394456
5.3033E+11,0.797857143,0.572037962
5.3033E+11,0.781428571,0.551001362
5.3033E+11,0.729285714,0.386867112
5.3033E+11,0.807142857,0.485780142
5.3033E+11,0.8,0.629249513
5.3033E+11,0.741428571,0.351473835
5.3033E+11,0.551428571,0.516430165
5.3033E+11,0.659285714,0.430229443
5.3033E+11,0.796428571,0.573732148
5.3033E+11,0.570714286,0.550724248
5.3033E+11,0.767857143,0.450849025
5.3033E+11,0.780714286,0.636203475
5.3033E+11,0.79,0.876627071
5.3033E+11,0.847142857,0.891939872
5.3033E+11,0.681428571,0.354024437
5.3033E+11,0.670714286,0.353023771
5.3033E+11,0.665,0.464532965
5.3033E+11,0.722857143,0.343685604
5.3033E+11,0.672857143,0.304063901
5.3033E+11,0.808571429,0.58003413
5.3033E+11,0.641428571,0.167071069
5.3033E+11,0.699518272,0.493422262
5.3033E+11,0.729285714,0.328747315
5.3033E+11,0.822857143,0.817465954
5.3033E+11,0.675714286,0.298879635
5.3033E+11,0.602142857,0.344900502
5.3033E+11,0.798571429,0.552272766
5.3033E+11,0.674285714,0.435880712
5.3033E+11,0.816428571,0.63419179
5.3033E+11,0.577857143,0.246286079
5.3033E+11,0.732142857,0.393340225
5.3033E+11,0.827857143,0.899928154
5.3033E+11,0.699285714,0.179972502
5.3033E+11,0.686428571,0.300340857
5.3033E+11,0.627142857,0.197066881
5.3033E+11,0.782857143,0.421379201
5.3033E+11,0.746428571,0.460137606
5.3033E+11,0.645,0.390239472
5.3033E+11,0.795714286,0.760861211
5.3033E+11,0.745,0.542498686
5.3033E+11,0.693571429,0.392581754
5.3033E+11,0.612857143,0.321694143
5.3033E+11,0.855714286,0.87310564
5.3033E+11,0.792857143,0.271367308
5.3033E+11,0.725714286,0.510360021
5.3033E+11,0.774285714,0.46023179
5.3033E+11,0.868571429,0.42216185
5.3033E+11,0.707857143,0.343053676
5.3033E+11,0.765,0.581715122
5.3033E+11,0.506428571,0
5.3033E+11,0.805,0.826504284
5.3033E+11,0.787142857,0.583581477
5.3033E+11,0.660714286,0.374806455
5.3033E+11,0.732142857,0.524251903
5.3033E+11,0.656428571,0.290463765
5.3033E+11,0.840714286,0.86368257
5.3033E+11,0.616428571,0.343969076
5.3033E+11,0.833571429,0.7483641
5.3033E+11,0.669285714,0.481080061
5.3033E+11,0.678571429,0.398088073
5.3033E+11,0.631428571,0.434196236
5.3033E+11,0.788571429,0.57677619
5.3033E+11,0.775714286,0.386930192
5.3033E+11,0.82,0.433498195
5.3033E+11,0.716428571,0.40864799
5.3033E+11,0.816428571,0.748024729
5.3033E+11,0.669285714,0.410419797
5.3033E+11,0.703571429,0.369408084
5.3033E+11,0.715,0.365692841
5.3033E+11,0.801428571,0.596831434
5.3033E+11,0.776428571,0.568545541
5.3033E+11,0.776428571,0.381434955
5.3033E+11,0.820714286,0.414431101
5.3033E+11,0.827142857,0.78713123
5.3033E+11,0.827142857,0.829776927
5.3033E+11,0.837142857,0.897701041
5.3033E+11,0.758571429,0.500150514
5.3033E+11,0.827142857,0.711442043
5.3033E+11,0.732142857,0.316458201
5.3033E+11,0.812142857,0.686424554
5.3033E+11,0.632142857,0.369887656
5.3033E+11,0.612142857,0.456229335
5.3033E+11,0.731428571,0.498212328
5.3033E+11,0.656428571,0.145488914
5.3033E+11,0.813571429,0.698039462
5.3033E+11,0.597857143,0.572676684
5.3033E+11,0.614285714,0.448620839
5.3033E+11,0.802857143,0.514875634
5.3033E+11,0.612142857,0.134303268
5.3033E+11,0.597857143,0.546651889
5.3033E+11,0.754285714,0.524483626
5.3033E+11,0.68,0.304040808
5.3033E+11,0.709285714,0.280000759
5.3033E+11,0.640714286,0.432837465
5.3033E+11,0.717857143,0.34110162
5.3033E+11,0.707142857,0.441959353
5.3033E+11,0.657142857,0.313654508
5.3033E+11,0.821428571,0.722561926
5.3033E+11,0.587142857,0.332966242
5.3033E+11,0.64,0.237647297
5.3033E+11,0.71,0.401480968
5.3033E+11,0.633571429,0.243673996
5.3033E+11,0.590714286,0.355875178
5.3033E+11,0.76,0.716242894
5.3033E+11,0.782857143,0.620042421
5.3033E+11,0.655,0.113185666
5.3033E+11,0.684285714,0.468304795
5.3033E+11,0.79,0.43273451
5.3033E+11,0.81,0.864470765
5.3033E+11,0.655714286,0.507241845
5.3033E+11,0.635,0.539628339
5.3033E+11,0.657142857,0.478427671
5.3033E+11,0.789285714,0.466726468
5.3033E+11,0.679285714,0.288494774
5.3033E+11,0.781428571,0.462049947
5.3033E+11,0.818571429,0.357654003
5.3033E+11,0.793571429,0.516672488
5.3033E+11,0.767857143,0.485245798
5.3033E+11,0.64,0.520913666
5.3033E+11,0.654285714,0.462967871
5.3033E+11,0.824285714,0.657556696
5.3033E+11,0.798571429,0.762444016
5.3033E+11,0.76,0.477462217
5.3033E+11,0.785714286,0.324749856
5.3033E+11,0.777142857,0.416550099
5.3033E+11,0.807857143,0.584460762
